"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","10","11","1","1.343882","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","10","10","1","3.015686","0","10"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","17","19","1","7.880470","0","19"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","11","11","1","3.605777","0","11"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","22","22","1","0.000000","0","22"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","72","78","1","45.506649","0","78"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","42","45","1","25.134449","0","45"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","10","11","1","3.212459","0","11"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","22","24","1","18.172918","0","24"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","11","12","1","7.285384","0","12"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","42","45","1","0.000000","0","45"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","8","8","1","2.197651","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","14","14","1","8.332638","0","14"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","8","8","1","1.936174","0","8"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","8","8","1","3.192980","0","8"
"/Engine/VREditor/TransformGizmo/Main.Main","49","8","8","1","2.493894","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","67","67","1","0.000000","0","67"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","7","7","1","2.355570","0","7"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","16","16","1","16.775595","0","16"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","16","16","1","16.909065","0","16"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","22","22","1","18.451378","0","22"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","16","16","1","9.374143","0","16"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","17","17","1","8.586245","0","17"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","92","92","1","0.000000","0","92"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","49","17","17","1","3.103483","0","17"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","11","12","1","4.440798","0","12"
"/ControlRig/M_Manip.M_Manip","49","11","12","1","7.491033","0","12"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","56","62","2","28.920414","0","62"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","1.602165","0","7"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","7","7","1","0.774182","0","7"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","75","80","6","18.896353","0","80"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","72","78","1","55.638550","0","78"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","9","9","1","0.000000","0","9"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","40","40","1","0.000000","0","40"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","993","1016","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","21","23","1","6.845233","0","23"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","7","7","1","2.861808","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","7","7","1","2.882666","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","45","45","1","17.752808","0","0"
"/Game/StarterContent/Materials/M_Wood_Pine.M_Wood_Pine","49","8","8","1","2.271843","0","8"
"/Game/OmomboContent/MaterialsAndAssets/M_MarbleAquaBlue.M_MarbleAquaBlue","49","8","8","1","0.000000","0","8"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","67","67","1","23.826757","0","67"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","18","18","1","9.643060","0","18"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","49","15","15","1","5.567426","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialRoundedSlider.M_AudioMaterialRoundedSlider","49","27","29","1","12.591149","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","16.720316","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","15","15","1","7.229734","0","15"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","15","15","1","7.150370","0","15"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","42","46","1","47.188511","0","46"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","42","46","1","51.782253","0","46"
"/Fab/Materials/Standard/M_MS_Base_Fuzz.M_MS_Base_Fuzz","49","18","19","1","0.000000","54","133"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","202","212","6","242.145355","0","212"
"/InterchangeAssets/gltf/M_Default.M_Default","49","430","470","14","502.366791","31","470"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","164","182","6","110.567284","0","182"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","156","166","6","100.634567","0","166"
"/Game/OmomboContent/Kensa/AnimationsAndMeshes/Arissa_MAT.Arissa_MAT","49","11","11","1","3.549172","0","11"
"/Game/OldBrokenPillar/BaseMaterials/M_Base_WallElements.M_Base_WallElements","49","8","8","1","1.919917","0","8"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","49","17","17","1","5.229171","0","17"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","49","17","17","1","0.000000","0","17"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","49","14","14","1","2.627146","0","14"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","49","20","20","1","2.994243","0","20"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","49","23","23","1","7.572757","0","23"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","49","26","30","2","10.716990","0","30"
"/Game/Light_Foliage/Materials/Master_Materials/M_Master_Foliage.M_Master_Foliage","49","84","92","2","46.439140","0","92"
"/Fab/Materials/Standard/M_MS_Foliage.M_MS_Foliage","49","42","46","2","41.873348","84","230"
